asset_title,content_category,count,total_duration_seconds
CHICAGO & FRIENDS: LIVE AT 55 #000( 7YN [TVG] pt04,Program,2,231.33333333333337
CHICAGO & FRIENDS: LIVE AT 55 2603CHGL1 PRETAPED BREAK 1,Filler,2,1079.9333333333334
AUD - SUNDAY EVENING AT 7:30,Audio,2,720.0
AUD - SUNDAY AFTERNOON AT 12:30,Audio,2,720.0
CHICAGO & FRIENDS: LIVE AT 55 2603CHGL3 PRETAPED BREAK 3,Filler,2,1201.8
AUD - SATURDAY NIGHT AT 11,Audio,2,720.0
MALLOR GRODNER PLUMMER - APRIL,Other,2,1680.0
MAKING OF THE AMERICAN REVOLUTION #000$ 7YN [TVPG] pt09,Program,2,5802.0
MAKING OF THE AMERICAN REVOLUTION #000$ 7YN [TVPG] pt08,Program,2,1256.0
MAKING OF THE AMERICAN REVOLUTION #000$ 7YN [TVPG] pt07,Program,2,1990.0666666666664
MAKING OF THE AMERICAN REVOLUTION #000$ 7YN [TVPG] pt06,Program,2,1256.0
MAKING OF THE AMERICAN REVOLUTION #000$ 7YN [TVPG] pt05,Program,2,2277.866666666667
MAKING OF THE AMERICAN REVOLUTION #000$ 7YN [TVPG] pt04,Program,2,1202.0666666666666
MAKING OF THE AMERICAN REVOLUTION #000$ 7YN [TVPG] pt03,Program,2,2271.9333333333334
MAKING OF THE AMERICAN REVOLUTION #000$ 7YN [TVPG] pt02,Program,2,1200.0
MAKING OF THE AMERICAN REVOLUTION #000$ 7YN [TVPG] pt01,Program,2,2692.9333333333334
AMANPOUR AND COMPANY #8109H 7YN [TVRE],Program,2,6812.0
AMANPOUR AND COMPANY #8110H 7YN [TVRE],Program,2,6812.0
AMANPOUR AND COMPANY #8111H 7YN [TVRE],Program,2,6812.0
AMANPOUR AND COMPANY #8112H 7YN [TVRE],Program,2,6812.0
MONKEY MONKEY MUSIC FILLER - SUBWAY SEASON 3,Filler,2,3630.0
WEATHER HUNTERS #106H 7YD NO SNOW SNOW DAY [TVY],Program,2,3452.0
MONROE COUNTY CASA - VOICE,Other,2,1680.0
VIEWER RESPONSE FIL150 UDATED 2019,Filler,2,2400.0
MONROE COUNTY YMCA - ANTIQUES Y,Other,2,1680.0
ANTIQUES ROADSHOW #2809H 7YN LSU RURAL LIFE MUSEUM HOUR 3 [TVG],Program,2,6812.033333333333
ANTIQUES ROADSHOW #2810H 7YN NORTH CAROLINA MUSEUM OF ART HOUR 1 [TVG],Program,2,6812.0
ARTHUR #1108H 7YD FRANCINE S PILFERED PAPER/BUSTER GE [TVY],Program,2,3452.266666666667
TONIGHT LINEUP-07,Graphics,2,1800.0
TONIGHT LINE-UP 07,Filler,2,1800.0
AUD - SATURDAY EVENING AT 6:30,Audio,2,720.0
CHICAGO & FRIENDS: LIVE AT 55 2603CHGL2 PRETAPED BREAK 2,Filler,2,1079.9333333333334
HOTEL PORTOFINO #101 7YN FIRST IMPRESSIONS [TV14],Program,2,6644.0
KIDS FILLER - PBS KIDS GRATITUDE SIZZLE FIL1702 2025,Filler,2,3600.0
KIDS FILLER - PET TIPS FIL1077 EVERGREEN,Filler,2,7138.0
DW THE DAY #15046H 7YN,Program,2,3240.0
PROMO - FORSYTES: AN INSIDE LOOK - SUN 1930,Promo,2,3600.0
HOTEL PORTOFINO #102 7YN LESSONS [TV14],Program,2,6568.0
KIDS FILLER - LUCRECIA - OPERA FRIENDS,Filler,2,130.0
KIDS FILLER - PBS KIDS ROCKS - BROTHERS/SISTE FIL1459 LOS LOBOS,Filler,2,120.0
PROMO - NOVA - NEXT NOVA4613_20 THE PLANETS: MARS,Promo,2,2400.0
PROMO - NATURE - WED 2000 NAAT4410_30 PARENTHOOD: THE GREATEST A,Promo,2,3600.0
CRAFT IN AMERICA #1101 7YN QUILTS [TVPG],Program,2,6812.0
NATURE #4410H 7YD PARENTHOOD: THE GREATEST ADVENTURE [TVPG],Program,2,6812.133333333333
KIDS FILLER - LUCRECIA - ROAR!,Filler,2,130.0
PROMO - MORE DECONSTRUCTING THE B - TON 2230,Promo,2,3600.0
KIDS FILLER - LUCRECIA - TIME TO SHARE,Filler,2,132.66666666666666
PROMO - MASTERPIECE WINTER/SPRING 2026 SIZZLE PRM7438 PROMO SAYS COMING 2026,Promo,2,3538.0
KIDS FILLER - LUCRECIA - THE WAY YOU ARE,Filler,2,130.0
"KIDS FILLER - LUCRECIA - SOUNDS, COLORS AND L",Filler,2,130.0
PROMO - SIT AND BE FIT ALL SERIES GENERIC - N,Promo,2,3602.0
DANIEL TIGER S NEIGHBORHOOD #714 7YD DANIEL PLAYS T-BALL/MAX PLAYS AT TH [TVY],Program,2,3452.0
PROMO - TOMMY EMMANUEL CGP: W/TIX - TON 2030,Promo,2,3600.0
DW THE DAY #15048H 7YN,Program,2,3240.0
KIDS FILLER - TIME TRAVEL - SOLVE PROBLEMS,Filler,2,1738.0
KIDS FILLER - TESTIMONIAL- ASL- WORK IT OUT W FIL1603 WIOW FAMILY,Filler,2,160.0
DW THE DAY #15050H 7YN,Program,2,3240.0
DW THE DAY #15049H 7YN,Program,2,3240.0
KIDS FILLER - TESTIMONIAL - LANDON S STORY FIL0303 UPDATED 2023,Filler,2,7138.0
DW THE DAY #15047H 7YN,Program,2,3240.0
KIDS FILLER - PHOEBE AND JAY SEASON -BOOGIE B,Filler,2,7138.0
KIDS FILLER - PIPS TIPS - BEING A GOOD LISTEN FIL1501 #162,Filler,2,7136.0
MONKEY MONKEY MUSIC FILLER - GRAB THEM AND GO FIL723 SEASON 5,Filler,1,900.0
MONKEY MONKEY MUSIC FILLER - NUTSHELLS - TWO SEASON 3,Filler,1,1812.0
MONDAY EVENING AT 8,Text,1,600.0
MONKEY MONKEY MUSIC FILLER - BELLY -PLAY PHYS RT500440 SEASON 4,Filler,1,849.0
MONKEY MONKEY MUSIC FILLER - BUTTERFLY - CHIL SEASON 3,Filler,1,1801.0
MONKEY MONKEY MUSIC FILLER - CARS SEASON 3,Filler,1,1209.0
MONKEY MONKEY MUSIC FILLER - DIAMOND FIL740 SEASON 5,Filler,1,1813.0
NOVA #4613$ 7YN THE PLANETS: MARS [TVG] pt05,Program,1,1064.0666666666666
